STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/1/2016,0.42,0,0,61,45
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/2/2016,0.2,0,0,52,46
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/3/2016,0.63,0,0,64,46
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/4/2016,0.05,0,0,59,51
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/5/2016,0.03,0,0,53,49
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/6/2016,0.94,0,0,57,48
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/7/2016,0.51,0,0,55,49
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/8/2016,0,0,0,61,49
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/9/2016,0,0,0,70,51
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/10/2016,0,0,0,71,52
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/11/2016,0,0,0,61,52
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/12/2016,0,0,0,69,54
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/13/2016,0,0,0,81,59
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/14/2016,0.17,0,0,70,61
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/15/2016,0.08,0,0,77,56
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/16/2016,0,0,0,59,47
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/17/2016,0,0,0,69,43
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/18/2016,0.13,0,0,63,56
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/19/2016,0.1,0,0,69,54
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/20/2016,0,0,0,75,55
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/21/2016,0,0,0,80,54
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/22/2016,1.38,0,0,62,53
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/23/2016,0.02,0,0,65,51
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/24/2016,0.17,0,0,77,55
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/25/2016,0,0,0,84,58
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/26/2016,0,0,0,90,60
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/27/2016,0,0,0,92,69
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/28/2016,0,0,0,91,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/29/2016,0,0,0,92,70
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/30/2016,2.4,0,0,90,69
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",5/31/2016,0,0,0,81,67
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/1/2016,0,0,0,90,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/2/2016,0,0,0,90,69
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/3/2016,0.2,0,0,84,62
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/4/2016,0,0,0,74,64
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/5/2016,0.05,0,0,86,67
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/6/2016,0.75,0,,84,68
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/7/2016,0,0,0,88,68
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/8/2016,0,0,0,87,67
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/9/2016,0.21,0,0,71,56
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/10/2016,0,0,0,76,55
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/11/2016,0,0,0,80,60
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/12/2016,0,0,0,93,64
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/13/2016,0,0,0,90,66
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/14/2016,0,0,0,79,60
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/15/2016,0,0,0,81,61
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/16/2016,0.23,0,0,82,64
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/17/2016,0,0,0,72,63
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/18/2016,0,0,0,85,62
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/19/2016,0,0,0,88,65
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/20/2016,0,0,0,95,68
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/21/2016,0,0,0,94,69
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/22/2016,0.05,0,0,91,73
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/23/2016,0,0,0,89,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/24/2016,0,0,0,88,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/25/2016,0,0,0,82,70
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/26/2016,0,0,0,87,67
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/27/2016,0,0,0,89,68
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/28/2016,0.87,0,0,89,66
